RMSE ACC
0.178943 0.833333
0.182892 0.819167
0.178468 0.836667
0.177943 0.841667
0.174288 0.845833
0.179713 0.821667
0.178218 0.8375
0.182601 0.816667
0.179204 0.8225
0.171785 0.866667
0.177411 0.84
0.17785 0.829167
0.174616 0.833333
0.174721 0.844167
0.174186 0.839167
0.175251 0.8525
0.173462 0.835833
0.179247 0.815833
0.178923 0.8025
0.1757 0.835
0.173398 0.8425
0.172036 0.839167
0.172364 0.845
0.171898 0.835833
0.175642 0.819167
0.178688 0.826667
0.174095 0.840833
0.172811 0.828333
0.168029 0.85
0.175019 0.838333
0.167845 0.854167
0.169173 0.838333
0.17036 0.846667
0.176678 0.816667
0.173758 0.8375
0.166952 0.87
0.173442 0.834167
0.171846 0.851667
0.176859 0.8175
0.167932 0.838333
0.173655 0.829167
0.168569 0.869167
0.168927 0.865833
0.165809 0.855833
0.170249 0.825833
0.176449 0.825833
0.167768 0.85
0.17219 0.831667
0.171626 0.84
0.171935 0.825833
0.168531 0.874167
0.166812 0.84
0.162607 0.851667
0.166466 0.8425
0.173434 0.815
0.169886 0.825
0.165606 0.851667
0.1688 0.8325
0.162221 0.858333
0.172185 0.805833
0.165789 0.825833
0.163822 0.87
0.165876 0.84
0.165653 0.8475
0.16424 0.865833
0.17228 0.824167
0.168184 0.84
0.161915 0.873333
0.160706 0.868333
0.167633 0.83
0.168162 0.831667
0.161725 0.838333
0.166285 0.846667
0.163036 0.850833
0.156239 0.88
0.158314 0.86
0.16069 0.8525
0.160995 0.848333
0.159987 0.858333
0.166506 0.834167
0.162456 0.841667
0.16054 0.834167
0.157651 0.870833
0.16001 0.855833
0.157525 0.8525
0.160233 0.86
0.157466 0.863333
0.165556 0.821667
0.16084 0.836667
0.160311 0.845
0.16219 0.825833
0.163572 0.83
0.15475 0.870833
0.157752 0.85
0.158635 0.843333
0.155841 0.858333
0.158888 0.8525
0.158651 0.830833
0.158791 0.859167
0.159147 0.85
0.156259 0.865
0.153719 0.864167
0.159065 0.845
0.156169 0.8475
0.155527 0.854167
0.163816 0.830833
0.155608 0.855833
0.157028 0.853333
0.154612 0.86
0.154683 0.853333
0.158277 0.845
0.153313 0.858333
0.154166 0.8725
0.159867 0.838333
0.155848 0.851667
0.156409 0.855
0.154648 0.845833
0.151249 0.869167
0.153678 0.849167
0.16112 0.855833
0.167425 0.819167
0.158738 0.856667
0.16172 0.845
0.157213 0.846667
0.155297 0.866667
0.153168 0.8575
0.15391 0.846667
0.150496 0.863333
0.15221 0.855
0.155594 0.855
0.15466 0.848333
0.154738 0.855833
0.155081 0.855
0.147884 0.864167
0.14935 0.865
0.155484 0.843333
0.149769 0.863333
0.15338 0.850833
0.156814 0.849167
0.149028 0.8625
0.149471 0.850833
0.15053 0.855
0.149943 0.859167
0.15015 0.873333
0.153904 0.8525
0.148868 0.868333
0.150708 0.864167
0.150176 0.858333
0.143202 0.894167
0.151614 0.855833
0.151334 0.865
0.147248 0.871667
0.14918 0.855
0.152994 0.849167
0.149558 0.861667
0.144371 0.885
0.147452 0.858333
0.148302 0.856667
0.144412 0.878333
0.148934 0.850833
0.146105 0.878333
0.146159 0.861667
0.142818 0.8775
0.146133 0.865
0.148449 0.856667
0.145323 0.868333
0.146245 0.874167
0.146852 0.859167
0.145211 0.865
0.143866 0.871667
0.15355 0.840833
0.149762 0.8525
0.149063 0.851667
0.143734 0.8825
0.141911 0.875
0.149254 0.849167
0.140076 0.880833
0.147943 0.866667
0.145736 0.868333
0.143748 0.863333
0.143269 0.869167
0.147813 0.855
0.142646 0.879167
0.142116 0.876667
0.140706 0.885
0.147237 0.8525
0.142231 0.866667
0.142716 0.8775
0.141572 0.8775
0.138376 0.879167
0.141963 0.8675
0.14214 0.8775
0.141975 0.876667
0.141047 0.871667
0.139652 0.879167
0.138245 0.879167
0.146749 0.8525
0.141324 0.8775
0.14463 0.8575
0.140743 0.88
0.143894 0.854167
0.144742 0.848333
0.133653 0.905
0.138451 0.890833
0.141836 0.873333
0.139359 0.876667
0.139338 0.8775
0.139332 0.8825
0.139521 0.88
0.142821 0.8675
0.140988 0.869167
0.147173 0.850833
0.144806 0.8575
0.138214 0.895
0.14179 0.876667
0.145407 0.851667
0.143224 0.869167
0.139619 0.869167
0.134923 0.898333
0.135385 0.865
0.135215 0.889167
0.140129 0.854167
0.141519 0.861667
0.135352 0.883333
0.135943 0.888333
0.136679 0.885833
0.139457 0.859167
0.138848 0.885833
0.138811 0.878333
0.137304 0.875
0.144575 0.835833
0.136555 0.881667
0.133714 0.885833
0.130288 0.88
0.138279 0.869167
0.133416 0.885833
0.134192 0.885833
0.13787 0.871667
0.140309 0.858333
0.137593 0.875
0.132943 0.894167
0.138592 0.8675
0.135449 0.870833
0.130075 0.895
0.133176 0.885
0.130602 0.898333
0.140802 0.880833
0.134662 0.878333
0.134267 0.875
0.138273 0.869167
0.134048 0.8725
0.130968 0.885833
0.134947 0.875833
0.13334 0.893333
0.134344 0.88
0.135437 0.873333
0.142894 0.835
0.133138 0.8925
0.130982 0.886667
0.131808 0.895833
0.130703 0.890833
0.134568 0.8875
0.132165 0.880833
0.130923 0.878333
0.128061 0.885
0.137463 0.855
0.129475 0.889167
0.130272 0.894167
0.133207 0.868333
0.132891 0.873333
0.134545 0.8625
0.134972 0.879167
0.128906 0.88
0.132912 0.874167
0.126561 0.900833
0.125094 0.9075
0.126616 0.9025
0.125228 0.898333
0.129804 0.881667
0.12751 0.89
0.136054 0.865833
0.129113 0.8925
0.129121 0.891667
0.132052 0.860833
0.129831 0.88
0.125919 0.895
0.129925 0.8875
0.133126 0.865833
0.133225 0.869167
0.12521 0.894167
0.128142 0.888333
0.130648 0.880833
0.12926 0.873333
0.121823 0.89
0.131202 0.860833
0.127423 0.884167
0.124978 0.896667
0.132383 0.861667
0.123999 0.89
0.124914 0.8925
0.128554 0.879167
0.124189 0.9075
0.130654 0.886667
0.127801 0.899167
0.122529 0.905
0.127 0.879167
0.129477 0.8775
0.12522 0.885833
0.128132 0.874167
0.127231 0.891667
0.12348 0.9025
0.129289 0.878333
0.131094 0.866667
0.133144 0.854167
0.126393 0.891667
0.125142 0.8975
0.126497 0.893333
0.12825 0.874167
0.130283 0.8725
0.125989 0.8875
0.127746 0.89
0.12764 0.881667
0.130298 0.865
0.129026 0.855833
0.123747 0.895
0.123048 0.889167
0.128429 0.881667
0.128122 0.881667
0.122438 0.895
0.128348 0.871667
0.127135 0.884167
0.127483 0.88
0.124378 0.885833
0.124185 0.888333
0.118454 0.905833
0.128979 0.875
0.123511 0.8875
0.12179 0.89
0.119645 0.891667
0.120901 0.895833
0.114053 0.910833
0.123531 0.895833
0.120434 0.9025
0.123342 0.883333
0.125103 0.879167
0.129392 0.866667
0.1199 0.903333
0.120806 0.9025
0.125327 0.890833
0.120409 0.905
0.121803 0.89
0.121261 0.895833
0.124215 0.88
0.12133 0.889167
0.119502 0.895833
0.119269 0.9
0.123307 0.903333
0.123798 0.890833
0.117628 0.9
0.120953 0.9
0.121441 0.884167
0.123193 0.875
0.123205 0.880833
0.120786 0.895833
0.115557 0.904167
0.125905 0.881667
0.120277 0.911667
0.122135 0.889167
0.120916 0.914167
0.118946 0.898333
0.114879 0.91
0.119403 0.898333
0.120461 0.890833
0.125599 0.866667
0.119239 0.894167
0.124933 0.883333
0.116281 0.903333
0.124886 0.871667
0.113447 0.905
0.121978 0.870833
0.11783 0.895
0.117138 0.879167
0.11467 0.92
0.119523 0.895
0.116938 0.8925
0.118443 0.905833
0.117474 0.906667
0.119741 0.891667
0.121782 0.8775
0.112875 0.905
0.112813 0.9175
0.117104 0.899167
0.115198 0.898333
0.115414 0.9
0.122281 0.875
0.116058 0.896667
0.11443 0.9075
0.113917 0.9
0.118927 0.8725
0.116365 0.895833
0.116703 0.9025
0.115105 0.885
0.110605 0.911667
0.112584 0.901667
0.114159 0.910833
0.115984 0.8975
0.121436 0.88
0.113414 0.9175
0.1177 0.91
0.110185 0.914167
0.115541 0.904167
0.115757 0.895833
0.113629 0.908333
0.12133 0.8675
0.116516 0.890833
0.115592 0.894167
0.115027 0.896667
0.112141 0.9
0.116471 0.8925
0.113182 0.898333
0.116008 0.88
0.110985 0.91
0.115442 0.896667
0.116016 0.904167
0.107768 0.923333
0.120836 0.8775
0.116375 0.8975
0.112785 0.894167
0.112645 0.89
0.121297 0.893333
0.115541 0.896667
0.116722 0.886667
0.123811 0.875833
0.118097 0.888333
0.115644 0.901667
0.118404 0.8825
0.111782 0.910833
0.111577 0.915833
0.109886 0.915
0.115801 0.895833
0.118707 0.885833
0.109806 0.896667
0.113135 0.891667
0.118025 0.89
0.111842 0.905833
0.109517 0.894167
0.106612 0.9175
0.118288 0.879167
0.109829 0.904167
0.11182 0.908333
0.10967 0.9025
0.118857 0.889167
0.114468 0.893333
0.113697 0.890833
0.109966 0.919167
0.111547 0.905
0.114594 0.891667
0.111587 0.905
0.114325 0.910833
0.112858 0.9
0.110848 0.898333
0.114896 0.891667
0.114786 0.895833
0.109934 0.91
0.109754 0.9025
0.119516 0.874167
0.111972 0.901667
0.108336 0.9125
0.109374 0.9075
0.110066 0.901667
0.112487 0.889167
0.116212 0.864167
0.112544 0.895
0.110403 0.895
0.11012 0.893333
0.109326 0.909167
0.109562 0.903333
0.102314 0.92
0.11126 0.9
0.108704 0.9
0.106017 0.921667
0.110858 0.901667
0.108792 0.910833
0.10767 0.9025
0.109569 0.906667
0.108636 0.9
0.112646 0.893333
0.104786 0.905
0.109615 0.901667
0.111498 0.893333
0.114096 0.891667
0.113865 0.895
0.111131 0.900833
0.108892 0.91
0.1158 0.890833
0.115711 0.871667
0.111838 0.8925
0.109441 0.906667
0.107798 0.9175
0.108468 0.8975
0.105819 0.914167
0.118234 0.860833
0.110726 0.888333
0.115383 0.893333
0.112097 0.890833
0.109354 0.908333
0.109147 0.899167
0.111919 0.894167
0.111322 0.886667
0.110604 0.901667
0.111823 0.889167
0.117693 0.884167
0.110159 0.915833
0.110115 0.900833
0.110807 0.8875
0.110597 0.9025
0.100294 0.920833
0.103441 0.908333
0.108477 0.908333
0.108437 0.8925
0.104903 0.906667
0.108822 0.905833
0.109353 0.898333
0.104344 0.924167
0.10953 0.9075
0.109737 0.9075
0.111181 0.888333
0.106349 0.9025
0.106769 0.908333
0.106543 0.906667
0.102776 0.925
0.10256 0.910833
0.116468 0.895
0.103383 0.915
0.109571 0.9
0.109272 0.899167
0.104635 0.914167
0.107747 0.9075
0.103987 0.913333
0.108694 0.895833
0.105003 0.908333
0.110364 0.896667
0.114444 0.894167
0.10742 0.908333
0.103813 0.906667
0.109733 0.893333
0.103228 0.915
0.10703 0.906667
0.102326 0.916667
0.105072 0.918333
0.102852 0.915
0.108139 0.901667
0.112641 0.875
0.103048 0.915
0.111461 0.889167
0.111239 0.883333
0.102275 0.918333
0.103233 0.9125
0.105794 0.899167
0.106114 0.8975
0.108701 0.89
0.105147 0.904167
0.102667 0.908333
0.104392 0.906667
0.103268 0.9
0.105416 0.899167
0.104055 0.905
0.106374 0.9075
0.107991 0.894167
0.105161 0.911667
0.108475 0.883333
0.105184 0.900833
0.104229 0.909167
0.101484 0.913333
0.105308 0.905
0.102114 0.915833
0.102174 0.910833
0.108272 0.890833
0.11185 0.891667
0.10517 0.91
0.109848 0.890833
0.103993 0.903333
0.108843 0.888333
0.107042 0.895833
0.104077 0.923333
0.101796 0.9225
0.10176 0.9125
0.0953645 0.921667
0.107292 0.886667
0.106639 0.894167
0.103918 0.898333
0.106277 0.911667
0.110546 0.883333
0.0988355 0.91
0.0995104 0.921667
0.10345 0.915833
0.10641 0.891667
0.101181 0.909167
0.102917 0.905
0.103917 0.9075
0.100699 0.909167
0.0993903 0.9125
0.100372 0.91
0.106154 0.893333
0.0985814 0.931667
0.101536 0.916667
0.107363 0.899167
0.102907 0.909167
0.10104 0.925833
0.102005 0.905833
0.103576 0.91
0.110103 0.89
0.101252 0.918333
0.103366 0.909167
0.103013 0.903333
0.107608 0.9
0.107652 0.883333
0.100364 0.915833
0.107304 0.894167
0.110939 0.883333
0.105566 0.911667
0.100619 0.913333
0.100891 0.906667
0.100616 0.919167
0.100082 0.923333
0.0985408 0.925833
0.0998763 0.92
0.0995581 0.921667
0.102554 0.9
0.104785 0.900833
0.0974547 0.925833
0.100146 0.91
0.0996579 0.923333
0.103477 0.9175
0.108491 0.9025
0.0983677 0.909167
0.105455 0.891667
0.100337 0.910833
0.0954873 0.931667
0.100078 0.913333
0.102439 0.910833
0.100123 0.920833
0.104872 0.889167
0.100647 0.911667
0.103299 0.910833
0.10287 0.905
0.110695 0.868333
0.10574 0.901667
0.102815 0.903333
0.105503 0.891667
0.103566 0.904167
0.101295 0.919167
0.0991668 0.918333
0.0966484 0.936667
0.0964934 0.914167
0.0965683 0.9225
0.097012 0.911667
0.101169 0.910833
0.102686 0.8925
0.105186 0.8975
0.100575 0.900833
0.101441 0.905
0.101037 0.908333
0.102131 0.905
0.0956574 0.931667
0.0991179 0.916667
0.0998003 0.913333
0.0990441 0.910833
0.104361 0.895833
0.104792 0.8925
0.0977807 0.9125
0.103489 0.905833
0.0944327 0.933333
0.0981398 0.919167
0.100042 0.909167
0.0979605 0.918333
0.0984976 0.914167
0.0958965 0.9225
0.10269 0.895
0.0953104 0.911667
0.0981629 0.923333
0.10041 0.910833
0.0967741 0.913333
0.0954981 0.92
0.0940371 0.930833
0.0952218 0.92
0.0977113 0.923333
0.0950792 0.9175
0.0970461 0.926667
0.0997506 0.921667
0.105983 0.88
0.0990072 0.910833
0.101745 0.905833
0.0983917 0.896667
0.100653 0.9075
0.106421 0.894167
0.0997456 0.904167
0.101093 0.900833
0.0980826 0.918333
0.102242 0.894167
0.101903 0.9
0.0950313 0.925
0.102667 0.899167
0.0988958 0.9075
0.09902 0.904167
0.0967043 0.911667
0.0972433 0.914167
0.101067 0.9
0.0957508 0.925
0.0975439 0.916667
0.0991154 0.908333
0.0983111 0.92
0.0998619 0.9125
0.0980669 0.906667
0.101889 0.898333
0.0991138 0.904167
0.0947959 0.921667
0.0961858 0.9175
0.100144 0.899167
0.101621 0.900833
0.0974246 0.903333
0.0980985 0.920833
0.0992306 0.9075
0.100339 0.904167
0.0991782 0.9075
0.0923246 0.921667
0.096947 0.915
0.0942861 0.93
0.0954741 0.916667
0.0939745 0.916667
0.0940079 0.9275
0.0937793 0.9275
0.0979334 0.905
0.0942919 0.92
0.101269 0.8975
0.0950388 0.9125
0.103621 0.8925
0.0968186 0.92
0.0948422 0.919167
0.0987789 0.9025
0.0971844 0.921667
0.10087 0.9
0.0975581 0.91
0.0980423 0.904167
0.0942669 0.9175
0.0942508 0.9325
0.0961899 0.909167
0.0948093 0.916667
0.0926197 0.919167
0.0972373 0.9175
0.0990087 0.9025
0.0937122 0.920833
0.09802 0.906667
0.0978469 0.8975
0.100292 0.9075
0.0987922 0.9075
0.0897398 0.93
0.0890022 0.9325
0.0992437 0.895
0.0969456 0.9125
0.0989671 0.914167
0.104311 0.885833
0.102773 0.891667
0.0925295 0.925
0.0966377 0.915833
0.101525 0.893333
0.0921906 0.924167
0.101094 0.890833
0.096085 0.920833
0.0964295 0.923333
0.0978988 0.905
0.0991434 0.9025
0.095156 0.906667
0.0952739 0.921667
0.0941436 0.91
0.0954362 0.911667
0.101974 0.889167
0.095777 0.9175
0.092432 0.916667
0.0942405 0.915833
0.0912743 0.929167
0.095603 0.905
0.0978701 0.901667
0.101948 0.885833
0.0956443 0.908333
0.0964735 0.915833
0.0952266 0.913333
0.0922386 0.923333
0.100573 0.893333
0.0915215 0.9275
0.0916459 0.924167
0.0958622 0.918333
0.0934415 0.905
0.0991412 0.8975
0.0945756 0.919167
0.0927043 0.9275
0.100119 0.89
0.0921989 0.929167
0.094341 0.910833
0.0915131 0.92
0.103069 0.885833
0.0949864 0.916667
0.0890597 0.929167
0.0979827 0.9
0.0939973 0.9125
0.0962175 0.9175
0.098638 0.901667
0.0939953 0.908333
0.092847 0.918333
0.0917113 0.925
0.0932311 0.9125
0.0899611 0.9225
0.0974345 0.91
0.0990738 0.905
0.0915158 0.918333
0.0867402 0.9275
0.0904383 0.92
0.0898097 0.928333
0.0912925 0.919167
0.0987442 0.9
0.0926705 0.918333
0.0939087 0.913333
0.084491 0.9325
0.0997461 0.899167
0.0908871 0.915
0.0877517 0.926667
0.0900525 0.9225
0.0969035 0.904167
0.0918656 0.920833
0.0950025 0.925833
0.0928636 0.913333
0.096026 0.904167
0.091522 0.9125
0.0920891 0.923333
0.0941869 0.919167
0.0942043 0.910833
0.0945471 0.91
0.090443 0.918333
0.0941052 0.909167
0.0856271 0.925833
0.0937776 0.9125
0.0954264 0.904167
0.0980106 0.899167
0.0956502 0.901667
0.0929723 0.915
0.0916004 0.914167
0.0941221 0.9175
0.0941816 0.901667
0.0886161 0.925833
0.0900847 0.924167
0.0969329 0.899167
0.0935512 0.905833
0.0932016 0.908333
0.087423 0.925833
0.0899287 0.92
0.0892205 0.913333
0.0998108 0.906667
0.0943155 0.910833
0.0977498 0.903333
0.0987886 0.896667
0.0947971 0.900833
0.0965288 0.8975
0.0899436 0.918333
0.0936508 0.9175
0.0890784 0.9175
0.0933126 0.905833
0.092352 0.913333
0.0890603 0.919167
0.0934227 0.909167
0.0954366 0.918333
0.0937852 0.903333
0.0909096 0.920833
0.0901916 0.92
0.0883031 0.926667
0.0899503 0.921667
