RMSE ACC MSR_Validate
0.0442977 0.85 0.101525
0.0393707 0.85 0.102075
0.0359653 0.85 0.102687
0.0330386 0.85 0.103159
0.0309878 0.85 0.103508
0.0290046 0.85 0.103831
0.0273054 0.85 0.104601
0.0256975 0.85 0.105297
0.0241108 0.83 0.105901
0.0226083 0.83 0.106475
0.0212576 0.83 0.106921
0.0200679 0.83 0.10732
0.0190039 0.83 0.107663
0.0180506 0.83 0.107968
0.0172172 0.83 0.108227
0.0164633 0.83 0.108414
0.0157714 0.83 0.108575
0.0151274 0.83 0.108713
0.0145443 0.83 0.108911
0.0139759 0.83 0.109251
0.0133931 0.83 0.109629
0.0128952 0.83 0.109999
0.107881 0.78 0.120161
0.0749033 0.82 0.0980052
0.0599828 0.8 0.103909
0.0497664 0.8 0.0985648
0.0440008 0.8 0.0984831
0.0395134 0.82 0.0972738
0.0365306 0.82 0.0965689
0.0339862 0.82 0.0959437
0.0316873 0.82 0.0955687
0.0299449 0.82 0.0948651
0.0283981 0.82 0.0943111
0.0270674 0.82 0.0937793
0.0259245 0.82 0.0932983
0.0249072 0.82 0.0930439
0.0240391 0.82 0.0925917
0.0232778 0.84 0.0921887
0.0225549 0.84 0.0918199
0.0218957 0.84 0.0915778
0.0213003 0.84 0.0913842
0.0205168 0.84 0.0913324
0.0194976 0.84 0.0911253
0.0184866 0.84 0.0909408
0.0175526 0.84 0.0907645
0.0167236 0.84 0.0906025
0.0159928 0.84 0.0905024
0.0153296 0.84 0.0903578
0.108479 0.9 0.0649202
0.0905711 0.9 0.0653601
0.0797177 0.9 0.0675955
0.0753593 0.89 0.068462
0.0662536 0.88 0.0703783
0.0660561 0.89 0.0707905
0.0581591 0.89 0.0721504
0.0592926 0.89 0.0721893
0.0528732 0.88 0.0738533
0.0551087 0.88 0.0735931
0.0487289 0.88 0.0752394
0.0510814 0.89 0.0745275
0.0444822 0.88 0.0764489
0.0470893 0.88 0.0750194
0.0401359 0.84 0.0773032
0.042933 0.88 0.0756857
0.037183 0.84 0.0778831
0.0393652 0.88 0.0763997
0.0347031 0.84 0.078401
0.0364941 0.85 0.0770997
0.0323028 0.84 0.0786922
0.0332318 0.85 0.0777743
0.0299199 0.85 0.0786308
0.0300525 0.85 0.0783872
0.0286101 0.85 0.0786708
0.0284287 0.85 0.0785531
0.0997399 0.75 0.117764
0.0711938 0.74 0.130708
0.0656282 0.73 0.128774
0.0599914 0.74 0.13176
0.0570793 0.74 0.131415
0.0525251 0.74 0.130864
0.0490487 0.74 0.130628
0.0462052 0.74 0.130325
0.0438323 0.74 0.130587
0.0417805 0.74 0.130075
0.0400879 0.72 0.130334
0.0383626 0.71 0.129256
0.0369703 0.73 0.129493
0.0356958 0.74 0.129232
0.0345758 0.74 0.129243
0.0333749 0.74 0.129184
0.032071 0.74 0.128953
0.0308084 0.74 0.128784
0.0295321 0.74 0.128631
0.0282899 0.74 0.128504
0.0271032 0.74 0.128381
0.0260121 0.74 0.128255
0.0249716 0.74 0.128143
0.0239013 0.74 0.128015
0.0229405 0.74 0.127892
0.0220584 0.74 0.12777
0.0961606 0.88 0.0990695
0.081731 0.91 0.085805
0.0769623 0.88 0.110566
0.080986 0.85 0.0839671
0.0786127 0.9 0.108248
0.0736467 0.84 0.0833771
0.0697704 0.88 0.11078
0.0659488 0.84 0.0828728
0.0616866 0.84 0.105385
0.0523552 0.86 0.0943189
0.0490254 0.81 0.105002
0.047869 0.84 0.0989097
0.0458089 0.81 0.105667
0.0448309 0.86 0.102428
0.043324 0.83 0.106058
0.0423528 0.83 0.104783
0.0413652 0.83 0.106445
0.040197 0.83 0.105477
0.0389547 0.83 0.105707
0.0380293 0.83 0.105475
0.03712 0.83 0.104476
0.0360884 0.83 0.103668
0.0352184 0.84 0.103161
0.0344788 0.84 0.102692
0.0338161 0.82 0.102294
0.0332068 0.82 0.101934
0.10881 0.81 0.0999676
0.0966339 0.83 0.0924382
0.0867156 0.81 0.104462
0.0772457 0.88 0.0903449
0.0855807 0.8 0.145164
0.107977 0.81 0.135683
0.145807 0.77 0.198642
0.161867 0.86 0.123831
0.129333 0.82 0.107117
0.0479378 0.85 0.100699
0.0404375 0.86 0.100739
0.0356703 0.86 0.0990912
0.0333861 0.86 0.09923
0.0310507 0.86 0.0987545
0.0295292 0.86 0.0989265
0.0280231 0.86 0.0989729
0.0270354 0.86 0.0991424
0.0260051 0.86 0.0992496
0.0251841 0.86 0.0994025
0.0242645 0.86 0.0996476
0.0233235 0.86 0.0998312
0.0226603 0.86 0.100042
0.0220165 0.86 0.100308
0.0214462 0.86 0.100369
0.0208748 0.86 0.100454
0.0203409 0.86 0.100671
0.153635 0.82 0.117132
0.101457 0.83 0.12776
0.0947692 0.82 0.13122
0.0652605 0.77 0.131448
0.059404 0.81 0.131536
0.0501102 0.77 0.131412
0.0470547 0.81 0.130447
0.042959 0.77 0.130537
0.0400306 0.81 0.129941
0.0372407 0.77 0.130083
0.0348033 0.77 0.129654
0.0327577 0.77 0.130157
0.03102 0.77 0.129919
0.0294209 0.77 0.13034
0.0279606 0.77 0.129504
0.0265047 0.77 0.129403
0.0251458 0.77 0.129388
0.0239241 0.77 0.129465
0.0227961 0.77 0.129566
0.0217609 0.77 0.129719
0.0208192 0.79 0.129868
0.0199406 0.79 0.130023
0.0191337 0.79 0.13018
0.0184207 0.79 0.130277
0.0177505 0.79 0.130389
0.0171306 0.79 0.130504
0.111814 0.79 0.120342
0.0662212 0.77 0.121706
0.0512197 0.79 0.123076
0.0455634 0.79 0.126309
0.0413748 0.79 0.128374
0.038377 0.79 0.129817
0.0359443 0.79 0.13181
0.0337812 0.79 0.133562
0.0322665 0.79 0.134599
0.0312661 0.79 0.135352
0.0305071 0.79 0.135418
0.029943 0.79 0.135317
0.0292749 0.79 0.134924
0.0282269 0.79 0.134722
0.0273397 0.79 0.134103
0.0261605 0.79 0.133156
0.024547 0.79 0.132668
0.0232098 0.79 0.132184
0.0219247 0.79 0.131883
0.0207665 0.79 0.131497
0.019767 0.79 0.131286
0.0188918 0.79 0.130965
0.0181067 0.79 0.130676
0.0174064 0.82 0.130523
0.0167794 0.82 0.130432
0.0628987 0.79 0.116479
0.0353705 0.78 0.11695
0.0262899 0.81 0.115738
0.0228252 0.81 0.114336
0.0206299 0.81 0.113029
0.0190937 0.81 0.111918
0.0179899 0.81 0.110926
0.0170669 0.81 0.110091
0.016372 0.81 0.109476
0.0158303 0.81 0.109079
0.0153903 0.81 0.108751
0.0150353 0.81 0.108543
0.0147738 0.82 0.108442
0.0145671 0.82 0.108434
0.0143862 0.82 0.108479
0.0141722 0.82 0.108585
0.013767 0.82 0.108786
0.0134419 0.84 0.108942
0.0131006 0.84 0.109057
0.0127529 0.84 0.109089
0.0123943 0.84 0.109035
0.0120162 0.84 0.108959
0.0116068 0.84 0.108827
0.0111769 0.84 0.108712
0.0107163 0.84 0.108753
0.0102235 0.84 0.108778
0.125726 0.83 0.0879037
0.0931341 0.81 0.0952035
0.0835551 0.8 0.103974
0.076665 0.8 0.109392
0.0713396 0.8 0.112445
0.0672375 0.8 0.114679
0.0626736 0.8 0.116735
0.0576143 0.8 0.116761
0.0525069 0.79 0.119618
0.0482924 0.79 0.119173
0.0444603 0.79 0.121577
0.0422875 0.79 0.120762
0.0392651 0.79 0.122194
0.0380554 0.79 0.121614
0.035341 0.79 0.122258
0.0342632 0.79 0.12238
0.0319569 0.79 0.122732
0.0309923 0.79 0.123261
0.0293682 0.79 0.123796
0.0283532 0.79 0.124214
0.0271741 0.79 0.124393
0.0263705 0.79 0.124617
0.0254775 0.79 0.124831
0.024702 0.79 0.12509
0.0239609 0.79 0.125267
0.111413 0.93 0.08465
0.0775091 0.9 0.0872912
0.0710275 0.87 0.0913416
0.066623 0.9 0.0886352
0.0570677 0.87 0.0971335
0.056784 0.87 0.094172
0.0491049 0.87 0.100851
0.0493029 0.87 0.0988812
0.0437878 0.87 0.103164
0.0422554 0.87 0.101094
0.0385494 0.87 0.104547
0.0364381 0.87 0.102709
0.033899 0.87 0.105329
0.0318852 0.87 0.104049
0.0300024 0.87 0.1046
0.028111 0.87 0.103484
0.0265259 0.87 0.103705
0.0251096 0.87 0.10331
0.0238692 0.87 0.103289
0.0227462 0.87 0.103129
0.0217405 0.87 0.103051
0.0208267 0.87 0.102958
0.0200137 0.87 0.103066
0.0192759 0.87 0.103113
0.0186001 0.87 0.103117
0.0179793 0.87 0.103097
0.0879142 0.85 0.100835
0.0550055 0.83 0.102654
0.0526433 0.83 0.101625
0.0482379 0.8 0.101433
0.0442955 0.81 0.101581
0.0406362 0.81 0.102012
0.0369813 0.81 0.102637
0.0333828 0.79 0.103698
0.0300962 0.79 0.104199
0.0273517 0.79 0.104553
0.0251813 0.79 0.104666
0.0232881 0.79 0.104549
0.021589 0.79 0.104451
0.0201687 0.79 0.104368
0.0189504 0.79 0.104318
0.0179179 0.79 0.104275
0.0169944 0.82 0.104242
0.0161904 0.84 0.104194
0.0154498 0.84 0.104153
0.0147985 0.84 0.1041
0.0142001 0.84 0.104062
0.0136673 0.84 0.104006
0.0131715 0.84 0.103957
0.0127248 0.84 0.103905
0.0123114 0.84 0.103852
0.0119228 0.84 0.103807
0.0903783 0.71 0.14554
0.0774367 0.68 0.152627
0.0742891 0.68 0.151379
0.0781074 0.68 0.15742
0.0631794 0.68 0.155994
0.0644268 0.67 0.158889
0.0514945 0.71 0.159035
0.052273 0.7 0.160268
0.0451777 0.71 0.162261
0.0468251 0.71 0.163581
0.0409174 0.7 0.16552
0.0413292 0.71 0.1668
0.0375645 0.69 0.168961
0.0369317 0.69 0.169244
0.0338532 0.73 0.170837
0.0330345 0.72 0.169849
0.0297794 0.73 0.170644
0.0285567 0.73 0.169605
0.0262859 0.73 0.170373
0.0252176 0.73 0.169153
0.0234832 0.73 0.16938
0.0225541 0.73 0.168946
0.0214145 0.71 0.168695
0.0204794 0.71 0.16844
0.0196233 0.71 0.168146
0.148479 0.8 0.119312
0.114059 0.83 0.133834
0.127609 0.83 0.120303
0.102962 0.8 0.129657
0.0991529 0.79 0.115802
0.076915 0.79 0.117348
0.074255 0.79 0.11876
0.0682604 0.79 0.121968
0.0651105 0.79 0.12289
0.0603675 0.79 0.125195
0.0585864 0.79 0.125676
0.0549574 0.79 0.125965
0.0529735 0.79 0.12589
0.0492517 0.79 0.127909
0.048048 0.79 0.126293
0.0442321 0.79 0.129228
0.0439319 0.79 0.126945
0.0396051 0.79 0.131081
0.0389169 0.79 0.127877
0.0347864 0.79 0.131102
0.0335792 0.79 0.128336
0.0304498 0.79 0.130704
0.0291272 0.79 0.129517
0.0272622 0.79 0.130772
0.0261263 0.79 0.130596
0.024863 0.79 0.131372
0.0859156 0.88 0.139632
0.0726672 0.88 0.142691
0.0662471 0.88 0.141129
0.0555914 0.88 0.142242
0.0493285 0.86 0.13938
0.0455825 0.86 0.139429
0.0416247 0.86 0.136865
0.0389101 0.86 0.13689
0.0374236 0.86 0.134366
0.0343848 0.86 0.135695
0.0336326 0.86 0.132199
0.0309285 0.86 0.133432
0.0295455 0.86 0.13062
0.0279761 0.86 0.131265
0.0265645 0.86 0.129426
0.025437 0.86 0.129464
0.0244298 0.86 0.128121
0.0233439 0.86 0.128183
0.0225319 0.87 0.127078
0.02164 0.87 0.12693
0.0209009 0.87 0.126312
0.0202437 0.87 0.125836
0.0195587 0.87 0.125464
0.0190034 0.87 0.124972
0.0183946 0.87 0.12461
0.0178994 0.87 0.124219
0.136768 0.87 0.124504
0.114176 0.82 0.101621
0.0937535 0.91 0.0901663
0.0652941 0.89 0.0904051
0.0591897 0.91 0.0878537
0.048336 0.91 0.0899588
0.0418071 0.91 0.0871658
0.0361254 0.91 0.0842917
0.0331182 0.91 0.0827727
0.0303046 0.91 0.0811788
0.0285811 0.91 0.0802012
0.0269224 0.91 0.0790945
0.0257558 0.9 0.0783936
0.024655 0.9 0.0775588
0.02377 0.9 0.0769759
0.0230174 0.9 0.076236
0.0223793 0.9 0.0758059
0.021796 0.9 0.0752842
0.02129 0.9 0.0749683
0.0207928 0.9 0.0745392
0.0203702 0.9 0.0744223
0.019975 0.9 0.0742052
0.0196083 0.9 0.0739457
0.0192692 0.9 0.0739587
0.0189317 0.9 0.0737909
0.0186319 0.9 0.0736295
0.101505 0.86 0.114851
0.0709895 0.83 0.113286
0.051258 0.83 0.114349
0.0438999 0.83 0.116596
0.0391821 0.83 0.118883
0.0355462 0.83 0.120297
0.0321489 0.83 0.121123
0.0291419 0.82 0.121501
0.0267323 0.81 0.121594
0.0246687 0.81 0.121364
0.0229467 0.81 0.121346
0.0215563 0.81 0.121068
0.0202605 0.79 0.120889
0.0189883 0.79 0.120766
0.017621 0.79 0.120461
0.0161816 0.81 0.119876
0.0147947 0.81 0.119149
0.0136216 0.81 0.118524
0.0126617 0.81 0.117983
0.0118731 0.81 0.117537
0.0112189 0.81 0.117177
0.0106678 0.81 0.116873
0.0101927 0.81 0.116622
0.00977595 0.81 0.116439
0.00940779 0.81 0.11628
0.00907911 0.81 0.116153
0.0967345 0.69 0.138395
0.0689292 0.72 0.137511
0.0489962 0.72 0.136697
0.0415605 0.72 0.135726
0.0352252 0.72 0.135618
0.0316274 0.72 0.135785
0.0288509 0.72 0.136382
0.0269621 0.72 0.137157
0.0254747 0.72 0.13789
0.0242686 0.72 0.138612
0.0232175 0.72 0.139264
0.0222963 0.72 0.139852
0.0214843 0.72 0.14039
0.0207628 0.72 0.140881
0.020119 0.72 0.141296
0.019534 0.72 0.141648
0.0189937 0.72 0.141964
0.0184973 0.72 0.142289
0.0179644 0.72 0.142671
0.0173672 0.72 0.142768
0.0166904 0.7 0.142747
0.0159032 0.7 0.142595
0.0150441 0.72 0.1421
0.014123 0.72 0.141759
0.0132988 0.72 0.1415
0.0125531 0.72 0.14129
0.0932281 0.88 0.0697204
0.0851512 0.88 0.0692471
0.067385 0.88 0.071738
0.0617889 0.87 0.0690369
0.0535281 0.88 0.0709285
0.0496767 0.87 0.0704995
0.0458127 0.87 0.0723358
0.042901 0.87 0.0739333
0.040694 0.87 0.0755649
0.0385878 0.87 0.0784513
0.0377853 0.87 0.0791697
0.0353123 0.87 0.0806713
0.0344985 0.87 0.0835327
0.0345014 0.86 0.0832086
0.0320418 0.86 0.0863598
0.0331165 0.86 0.085435
0.0303538 0.86 0.0886993
0.0318693 0.86 0.0879966
0.0293125 0.86 0.0913595
0.030678 0.86 0.0901177
0.0278672 0.86 0.0931518
0.0285603 0.86 0.092132
0.0262111 0.86 0.0944975
0.0260057 0.86 0.0936641
0.0242937 0.86 0.0952697
0.0235597 0.86 0.0946151
0.0666813 0.75 0.136298
0.0448417 0.75 0.13113
0.0345621 0.75 0.130022
0.0285503 0.75 0.129836
0.02462 0.76 0.129543
0.0218191 0.76 0.129169
0.0197632 0.76 0.128711
0.0181967 0.76 0.128333
0.0169418 0.76 0.127965
0.015907 0.76 0.127917
0.0150245 0.76 0.127862
0.0142506 0.76 0.127824
0.0135829 0.76 0.127794
0.0129983 0.78 0.127765
0.0124807 0.78 0.127729
0.0120181 0.78 0.127693
0.011601 0.78 0.127656
0.0112219 0.78 0.127616
0.0108869 0.78 0.127531
0.010567 0.78 0.127452
0.0102719 0.78 0.127378
0.00999833 0.78 0.12731
0.00971571 0.78 0.12721
0.00940748 0.78 0.127147
0.00913007 0.78 0.127091
0.00887412 0.78 0.12698
0.0776674 0.82 0.100908
0.0564781 0.83 0.102088
0.0483064 0.82 0.104303
0.0419878 0.84 0.105113
0.0360168 0.82 0.106021
0.0323638 0.83 0.106711
0.0274166 0.82 0.106346
0.0256308 0.83 0.106723
0.0232368 0.84 0.106482
0.0217164 0.84 0.10638
0.0200284 0.81 0.106163
0.0187631 0.81 0.106071
0.0177238 0.81 0.105883
0.0167728 0.81 0.105722
0.0159884 0.81 0.105789
0.0152695 0.81 0.105569
0.0146375 0.81 0.105407
0.0140618 0.81 0.105375
0.0135605 0.81 0.105274
0.0130733 0.81 0.105104
0.0126246 0.81 0.104963
0.0122224 0.81 0.104938
0.0118384 0.81 0.104801
0.0114834 0.81 0.104685
0.0111709 0.81 0.104687
0.118583 0.86 0.0751467
0.0683996 0.86 0.0783612
0.0470712 0.88 0.084291
0.0377129 0.88 0.0860052
0.0339145 0.88 0.0865402
0.0317988 0.88 0.0868012
0.0300214 0.88 0.0867524
0.0283223 0.88 0.0869105
0.0268437 0.88 0.0872126
0.0256976 0.87 0.0875616
0.0246935 0.87 0.0878594
0.0235373 0.87 0.0887346
0.022667 0.87 0.0896771
0.0220826 0.87 0.090204
0.0211666 0.87 0.0907854
0.0204397 0.87 0.0910861
0.0196452 0.87 0.0916029
0.0191132 0.87 0.092028
0.0185515 0.87 0.0925764
0.0180842 0.87 0.0929457
0.0175595 0.87 0.0933265
0.0170673 0.87 0.0937024
0.0165946 0.87 0.0940605
0.016112 0.87 0.0944318
0.0156325 0.87 0.0947932
0.0151888 0.87 0.095358
0.0593857 0.84 0.128164
0.0412483 0.84 0.127455
0.0302273 0.84 0.128796
0.0257832 0.85 0.129699
0.0236665 0.85 0.132153
0.0217527 0.85 0.133868
0.0201813 0.85 0.134511
0.0184639 0.85 0.134692
0.016951 0.85 0.134801
0.0157617 0.85 0.134846
0.01469 0.85 0.134924
0.0138275 0.85 0.134883
0.0129664 0.85 0.134764
0.0122811 0.85 0.134788
0.0116606 0.85 0.134636
0.0110696 0.84 0.134569
0.0105741 0.84 0.134561
0.0101113 0.82 0.134405
0.00967785 0.82 0.134337
0.00929882 0.82 0.134264
0.00894991 0.82 0.134148
0.00863235 0.82 0.134058
0.00832178 0.82 0.133912
0.00805139 0.82 0.133874
0.0077924 0.82 0.133752
0.00755283 0.82 0.133601
0.0862541 0.86 0.107592
0.0811236 0.87 0.106097
0.0651705 0.84 0.110823
0.0589311 0.85 0.115077
0.0543245 0.85 0.111779
0.0483224 0.85 0.111574
0.0415443 0.85 0.111373
0.0355981 0.85 0.110523
0.0302872 0.85 0.10989
0.0264716 0.85 0.109098
0.0236 0.85 0.108394
0.0213853 0.85 0.107833
0.0196748 0.85 0.107284
0.0182483 0.85 0.106826
0.0170538 0.85 0.106425
0.0159032 0.85 0.106131
0.0148525 0.85 0.105894
0.0140102 0.85 0.105731
0.0132818 0.85 0.10559
0.0126356 0.85 0.105404
0.0120825 0.85 0.105275
0.0115754 0.85 0.105144
0.011114 0.85 0.105023
0.0107122 0.85 0.104879
0.0103416 0.85 0.104777
0.0913027 0.92 0.0606572
0.0553307 0.87 0.0758349
0.0515752 0.95 0.0566009
0.0398605 0.95 0.0672565
0.0262526 0.92 0.0688846
0.0232326 0.95 0.065603
0.0206731 0.92 0.0692496
0.0187803 0.95 0.0673963
0.0174486 0.95 0.069032
0.0161353 0.95 0.0688036
0.0151656 0.95 0.0694136
0.014369 0.95 0.0696126
0.0136871 0.95 0.0699152
0.0130651 0.95 0.0701982
0.0125201 0.95 0.0704243
0.0120173 0.95 0.0706749
0.0115658 0.95 0.0708773
0.0111456 0.95 0.0711016
0.0107634 0.95 0.0712874
0.0104052 0.95 0.0714908
0.0100765 0.95 0.0716627
0.00976661 0.95 0.0718517
0.00948025 0.95 0.0720137
0.00921001 0.95 0.0721395
0.00896164 0.95 0.0723052
0.00872445 0.95 0.0724417
0.107118 0.92 0.0711803
0.0890508 0.92 0.0705329
0.0757069 0.92 0.0727962
0.0772567 0.92 0.0724066
0.0652475 0.92 0.076175
0.0653275 0.92 0.0774806
0.0549545 0.91 0.0815139
0.0542579 0.92 0.0813457
0.0467547 0.91 0.0852191
0.0466176 0.89 0.0860994
0.0415757 0.88 0.0890462
0.041162 0.88 0.0907127
0.0377427 0.88 0.0926686
0.0365675 0.88 0.0942571
0.0344692 0.88 0.095557
0.0331447 0.88 0.0966448
0.031772 0.88 0.0974854
0.0306992 0.88 0.0981862
0.0296607 0.88 0.0989029
0.0287244 0.88 0.0996591
0.0279196 0.88 0.100409
0.0271474 0.88 0.100925
0.0264107 0.88 0.101551
0.0257217 0.88 0.102095
0.0251472 0.88 0.103098
0.024328 0.88 0.103763
0.0968534 0.86 0.114351
0.0745646 0.86 0.106009
0.0563853 0.86 0.104976
0.0517108 0.86 0.104131
0.0455516 0.86 0.104728
0.0419162 0.86 0.106221
0.0357613 0.87 0.106406
0.0313265 0.87 0.106663
0.0269619 0.87 0.106686
0.0234366 0.87 0.106615
0.0206658 0.87 0.106444
0.0184847 0.87 0.106239
0.0169177 0.87 0.105996
0.0156993 0.87 0.105792
0.0147355 0.87 0.105619
0.0139499 0.87 0.105461
0.0132939 0.87 0.105345
0.0126697 0.87 0.105319
0.0119723 0.87 0.10517
0.0113737 0.87 0.104977
0.0108494 0.87 0.104844
0.0103893 0.87 0.104741
0.00998025 0.87 0.104654
0.00961124 0.87 0.104596
0.00927352 0.87 0.104553
0.0767069 0.82 0.121064
0.0673332 0.79 0.112161
0.052375 0.79 0.11042
0.0563036 0.79 0.105394
0.0536806 0.79 0.107099
0.0540424 0.8 0.106101
0.0516721 0.8 0.107084
0.0510753 0.8 0.10707
0.0490614 0.8 0.108002
0.047675 0.8 0.108161
0.0448329 0.8 0.108799
0.0426769 0.83 0.109153
0.0390706 0.84 0.109408
0.0377835 0.83 0.111022
0.0345049 0.84 0.11052
0.0358909 0.83 0.114609
0.0337404 0.83 0.110269
0.033729 0.83 0.11528
0.0306636 0.84 0.110333
0.0295103 0.83 0.115254
0.0271549 0.84 0.111008
0.0257033 0.8 0.114982
0.0240283 0.81 0.112116
0.0228401 0.8 0.114358
0.0215802 0.81 0.113082
0.0208574 0.81 0.114068
0.137207 0.89 0.075289
0.0957678 0.9 0.083891
0.0831251 0.89 0.0744984
0.0641299 0.9 0.0873825
0.0609331 0.89 0.078999
0.044486 0.9 0.0883166
0.0498966 0.89 0.0797355
0.0382249 0.9 0.0874611
0.0413771 0.89 0.0806801
0.0317397 0.9 0.0865599
0.0323206 0.91 0.08327
0.027909 0.9 0.0847483
0.0274076 0.88 0.0835139
0.0247155 0.88 0.0841373
0.0230052 0.88 0.084037
0.0212262 0.88 0.0844661
0.0199933 0.88 0.0843886
0.018819 0.88 0.0846422
0.0178462 0.88 0.0846935
0.0169659 0.88 0.0847448
0.0161888 0.88 0.0847594
0.0155026 0.88 0.0846132
0.01489 0.88 0.0846552
0.0143198 0.88 0.0846388
0.0137945 0.88 0.0846133
0.0995289 0.81 0.104518
0.0680928 0.8 0.106614
0.0612792 0.8 0.107287
0.0549713 0.8 0.107325
0.0502724 0.8 0.10876
0.0443677 0.8 0.109549
0.0405557 0.8 0.112274
0.0372663 0.8 0.114793
0.0353482 0.78 0.116721
0.0335967 0.78 0.121879
0.0321287 0.8 0.121491
0.0315853 0.77 0.127704
0.0294782 0.77 0.12519
0.0293367 0.77 0.130384
0.0266946 0.77 0.126848
0.0272906 0.75 0.13114
0.0245798 0.75 0.128188
0.02532 0.75 0.131832
0.0228834 0.75 0.129378
0.023301 0.75 0.131882
0.0214968 0.75 0.130242
0.0216172 0.75 0.131435
0.0202674 0.75 0.131205
0.0196687 0.75 0.131957
0.0185838 0.75 0.132033
0.0179482 0.75 0.132338
0.13948 0.87 0.0775712
0.104555 0.89 0.0741411
0.0932712 0.89 0.0773338
0.0785441 0.89 0.0819704
0.0744759 0.89 0.0827393
0.0637825 0.88 0.0851156
0.0635453 0.89 0.0839751
0.0559926 0.88 0.0841861
0.0513849 0.89 0.0827444
0.043613 0.88 0.0795693
0.0366739 0.88 0.0819414
0.0297526 0.89 0.0795366
0.0278614 0.88 0.0797512
0.0266394 0.89 0.0793289
0.025656 0.89 0.0791044
0.0247783 0.89 0.078791
0.0240147 0.89 0.0785354
0.023365 0.89 0.0783357
0.0227855 0.89 0.0781834
0.0222785 0.89 0.078027
0.0216424 0.89 0.0778125
0.020866 0.89 0.0775949
0.0204554 0.89 0.0774852
0.0199124 0.89 0.0772302
0.0194392 0.89 0.077095
0.0190111 0.89 0.0769281
0.0726852 0.83 0.0845494
0.0525179 0.81 0.0863853
0.0475403 0.85 0.0887944
0.0443991 0.85 0.0894234
0.0418773 0.85 0.0888068
0.0388694 0.85 0.0879597
0.0360898 0.85 0.0869809
0.0332521 0.85 0.0854586
0.0282392 0.83 0.084575
0.0244879 0.83 0.0844978
0.0221504 0.83 0.084615
0.0204829 0.83 0.0846908
0.0190886 0.83 0.0847437
0.0179001 0.83 0.0847831
0.0168657 0.83 0.0848062
0.0159512 0.83 0.0848327
0.0151479 0.83 0.0848377
0.014425 0.83 0.0848653
0.013778 0.83 0.0848885
0.0131899 0.83 0.0849106
0.0126514 0.83 0.0849275
0.0121628 0.83 0.0849231
0.0117055 0.83 0.0849381
0.0112896 0.83 0.0849365
0.0109023 0.83 0.0849245
0.0675096 0.79 0.111428
0.039959 0.81 0.109375
0.0412744 0.82 0.109472
0.0392046 0.82 0.109388
0.0386313 0.82 0.110014
0.0358505 0.82 0.111118
0.0330663 0.82 0.112445
0.0313616 0.8 0.113724
0.030346 0.8 0.114592
0.0294557 0.8 0.115408
0.0284527 0.8 0.116247
0.0276289 0.8 0.116902
0.0269385 0.8 0.117614
0.026414 0.8 0.118499
0.025822 0.8 0.119308
0.0253163 0.8 0.120331
0.0247941 0.8 0.12158
0.0241058 0.74 0.123006
0.0233593 0.74 0.1242
0.022174 0.74 0.12593
0.0207968 0.74 0.126747
0.0192768 0.74 0.127749
0.0179396 0.7 0.128226
0.016905 0.7 0.12885
0.0159576 0.7 0.128859
0.0152053 0.7 0.129089
0.131869 0.85 0.108852
0.130879 0.83 0.107564
0.11137 0.87 0.110467
0.111304 0.87 0.106055
0.0988562 0.83 0.0994824
0.0906705 0.83 0.0995212
0.0836279 0.83 0.100353
0.0764844 0.81 0.101609
0.0740654 0.82 0.101663
0.0616239 0.81 0.103338
0.0609215 0.82 0.102221
0.0531932 0.82 0.105503
0.0520456 0.82 0.105058
0.0465766 0.82 0.107337
0.0431036 0.82 0.108964
0.0396592 0.82 0.110514
0.0363452 0.82 0.112675
0.0348121 0.77 0.109928
0.0315295 0.77 0.113407
0.0311707 0.77 0.110351
0.028752 0.82 0.109854
0.0256773 0.84 0.107548
0.0236806 0.84 0.107029
0.0219076 0.84 0.105726
0.0207901 0.84 0.105801
0.0197607 0.85 0.104791
0.101153 0.75 0.141939
0.0908574 0.76 0.141095
0.0671935 0.76 0.139797
0.0531602 0.76 0.141097
0.0503974 0.76 0.141725
0.0471443 0.76 0.14264
0.0447662 0.76 0.143734
0.0431091 0.76 0.144548
0.0414964 0.78 0.145202
0.0400671 0.78 0.14607
0.0386561 0.78 0.147012
0.0371764 0.78 0.147498
0.0353664 0.8 0.147859
0.0337392 0.8 0.147633
0.032069 0.8 0.147544
0.0305862 0.8 0.146751
0.0289747 0.8 0.146388
0.0275954 0.78 0.145987
0.0262692 0.78 0.145497
0.0250754 0.78 0.145122
0.0240299 0.78 0.144464
0.0230016 0.78 0.144029
0.0220693 0.78 0.143521
0.0212079 0.78 0.14318
0.0205039 0.79 0.142618
0.0198113 0.79 0.142186
0.0861917 0.86 0.102958
0.0345741 0.84 0.100517
0.0280699 0.84 0.100157
0.0227831 0.84 0.0997346
0.0194326 0.84 0.0996462
0.0172998 0.84 0.0993931
0.0157675 0.78 0.0990866
0.0143889 0.78 0.0989912
0.0132347 0.78 0.0987408
0.0121081 0.78 0.0984306
0.0111929 0.78 0.0980886
0.0103753 0.78 0.0977755
0.00968645 0.78 0.0976484
0.00912134 0.78 0.0973673
0.00858236 0.78 0.097078
0.00810715 0.78 0.0968094
0.0076925 0.78 0.096615
0.00733859 0.8 0.0964251
0.00698883 0.8 0.0962053
0.00666017 0.8 0.0959906
0.00638757 0.8 0.095829
0.00613141 0.8 0.0956548
0.00589356 0.81 0.0954637
0.00568738 0.81 0.0953133
