RMSE ACC MSR_Validate
0.0464334 0.67 0.210873
0.0451033 0.67 0.209992
0.222108 0.71 0.187802
0.167337 0.67 0.185006
0.173738 0.71 0.181447
0.164079 0.69 0.206398
0.182156 0.6 0.215493
0.205586 0.68 0.237862
0.18187 0.62 0.193529
0.150104 0.71 0.186714
0.110462 0.73 0.16973
0.097788 0.73 0.178533
0.0966056 0.73 0.170872
0.0879375 0.74 0.176688
0.0863947 0.74 0.171578
0.0810807 0.74 0.176456
0.0795722 0.74 0.173726
0.0750568 0.74 0.175388
0.0726354 0.74 0.172684
0.0688712 0.74 0.176211
0.066837 0.74 0.173497
0.0631733 0.74 0.176957
0.060992 0.74 0.173789
0.0574097 0.74 0.176907
0.0551519 0.74 0.173626
0.0523089 0.74 0.17631
0.0501647 0.74 0.172901
0.048104 0.74 0.176123
0.235496 0.56 0.212279
0.203897 0.7 0.158276
0.190997 0.61 0.199291
0.136405 0.69 0.168577
0.133178 0.64 0.183646
0.113594 0.64 0.17228
0.115941 0.64 0.184319
0.0938836 0.64 0.172539
0.0995798 0.66 0.18345
0.0836502 0.65 0.174762
0.0857113 0.68 0.185492
0.0750544 0.66 0.177207
0.0741485 0.65 0.184922
0.069805 0.69 0.180505
0.0673773 0.68 0.185527
0.0659541 0.65 0.183625
0.06364 0.69 0.187299
0.0613784 0.69 0.18596
0.061267 0.69 0.188753
0.0581683 0.72 0.187768
0.0583187 0.72 0.189768
0.0554839 0.72 0.189785
0.0544993 0.69 0.191813
0.0534255 0.69 0.191613
0.166866 0.74 0.162544
0.136094 0.65 0.175453
0.1137 0.72 0.173802
0.10533 0.69 0.178757
0.0976155 0.72 0.176142
0.0936603 0.66 0.17742
0.088944 0.72 0.176743
0.0856219 0.72 0.177764
0.0819741 0.72 0.178761
0.0794052 0.69 0.179012
0.0755434 0.69 0.179812
0.0723485 0.69 0.18066
0.0691104 0.68 0.181649
0.0659039 0.68 0.182508
0.0627704 0.68 0.183078
0.0600173 0.68 0.184509
0.0572782 0.68 0.18429
0.0548745 0.68 0.185061
0.0526421 0.68 0.185637
0.0507762 0.68 0.186284
0.0490677 0.68 0.187241
0.0475776 0.68 0.187339
0.0462313 0.67 0.18785
0.04496 0.67 0.188322
0.0438345 0.67 0.188846
0.220128 0.59 0.226734
0.180011 0.64 0.194895
0.158202 0.62 0.232012
0.155963 0.69 0.190735
0.1441 0.61 0.238527
0.141241 0.7 0.19108
0.128797 0.61 0.232667
0.115687 0.65 0.202079
0.105673 0.61 0.221278
0.0974805 0.61 0.211983
0.0909673 0.61 0.21839
0.0878026 0.61 0.216062
0.0837416 0.61 0.219727
0.0812407 0.61 0.219713
0.078256 0.61 0.221897
0.0763313 0.61 0.222211
0.0743674 0.61 0.223303
0.0728083 0.61 0.223893
0.0713267 0.61 0.224644
0.069853 0.61 0.225457
0.0686093 0.59 0.22588
0.0670177 0.59 0.226311
0.0655394 0.56 0.228387
0.063865 0.56 0.226826
0.0625233 0.56 0.228586
0.201487 0.76 0.176147
0.166248 0.69 0.182737
0.153269 0.68 0.178465
0.143541 0.68 0.185455
0.138463 0.73 0.17574
0.126399 0.71 0.186453
0.126687 0.72 0.169771
0.116623 0.75 0.183758
0.117623 0.75 0.169168
0.108769 0.75 0.180712
0.110314 0.74 0.169187
0.103736 0.74 0.177436
0.104552 0.77 0.168505
0.0997427 0.75 0.174556
0.100137 0.75 0.167102
0.0958697 0.76 0.170671
0.0959075 0.76 0.165114
0.0922834 0.76 0.167956
0.0922074 0.74 0.163966
0.088869 0.76 0.163959
0.0866049 0.76 0.161391
0.0835574 0.76 0.160056
0.080301 0.76 0.158025
0.0771389 0.74 0.15694
0.0736726 0.74 0.155473
0.126568 0.74 0.165871
0.102572 0.74 0.168315
0.0976574 0.72 0.174404
0.0916492 0.71 0.179079
0.0867013 0.71 0.187202
0.0781057 0.73 0.189332
0.0711365 0.73 0.187284
0.0663449 0.71 0.189423
0.0624154 0.7 0.18909
0.0593286 0.7 0.189363
0.0567813 0.7 0.188524
0.0541336 0.7 0.188532
0.0518371 0.7 0.187561
0.0497708 0.69 0.187525
0.0480955 0.69 0.186458
0.0464473 0.69 0.186261
0.0450328 0.69 0.185098
0.0436633 0.69 0.184795
0.0424987 0.69 0.183717
0.0413283 0.69 0.183276
0.0403462 0.69 0.18223
0.0392856 0.69 0.181717
0.0383588 0.69 0.180868
0.0374368 0.69 0.180174
0.0365459 0.69 0.179243
0.0356914 0.69 0.178794
0.207673 0.65 0.22958
0.175033 0.65 0.190286
0.147677 0.6 0.225619
0.154361 0.61 0.187718
0.158758 0.58 0.230249
0.160338 0.63 0.185562
0.154215 0.67 0.205482
0.127742 0.66 0.164455
0.101861 0.67 0.184765
0.0970557 0.65 0.162319
0.0859649 0.67 0.170499
0.0779879 0.68 0.16157
0.0720967 0.67 0.16578
0.069344 0.71 0.161858
0.0665899 0.71 0.163248
0.0644575 0.71 0.161385
0.0622975 0.71 0.161821
0.060432 0.71 0.160581
0.0585371 0.71 0.160019
0.0571072 0.71 0.159941
0.0555608 0.71 0.159339
0.0541749 0.71 0.15805
0.0525683 0.71 0.159295
0.0516987 0.71 0.157637
0.0500455 0.71 0.158716
0.150081 0.59 0.189937
0.16074 0.74 0.1624
0.142667 0.73 0.173342
0.126378 0.7 0.173256
0.112781 0.74 0.174062
0.106893 0.7 0.173174
0.100527 0.7 0.172817
0.0955783 0.7 0.172473
0.0913858 0.71 0.170931
0.0886642 0.71 0.173522
0.0854641 0.72 0.172119
0.085 0.67 0.177067
0.0809589 0.74 0.17432
0.0788396 0.69 0.179236
0.0743878 0.74 0.175728
0.073053 0.69 0.181807
0.0694864 0.74 0.177844
0.0675281 0.66 0.183627
0.0622371 0.73 0.180133
0.0590351 0.73 0.181955
0.0550755 0.73 0.180066
0.0528268 0.73 0.181127
0.0503063 0.73 0.181128
0.0485955 0.73 0.181876
0.0468237 0.7 0.182101
0.137759 0.77 0.160716
0.11788 0.68 0.171345
0.101474 0.68 0.173119
0.0946909 0.68 0.177812
0.0887089 0.68 0.180745
0.0836065 0.68 0.180967
0.0794095 0.68 0.180707
0.0759196 0.68 0.182725
0.0741452 0.68 0.182709
0.0715804 0.68 0.182316
0.0692015 0.68 0.182066
0.0661802 0.68 0.182997
0.0614251 0.68 0.181602
0.0566142 0.68 0.181864
0.0529613 0.68 0.180559
0.0497587 0.65 0.181129
0.0473336 0.68 0.17958
0.044857 0.65 0.180155
0.0429754 0.68 0.178781
0.040923 0.65 0.179294
0.0392749 0.68 0.177905
0.0375964 0.65 0.178423
0.0361108 0.65 0.178202
0.0347742 0.68 0.17734
0.0334543 0.65 0.177373
0.0322792 0.65 0.177765
0.204359 0.62 0.177578
0.149955 0.66 0.196739
0.129713 0.61 0.17874
0.107013 0.71 0.202296
0.11066 0.7 0.176357
0.0968178 0.71 0.199991
0.10176 0.7 0.172353
0.0884013 0.71 0.195368
0.0876869 0.71 0.170726
0.0759052 0.71 0.187666
0.0728668 0.71 0.168996
0.0645381 0.7 0.179261
0.0623858 0.71 0.170193
0.0585717 0.69 0.173763
0.0569161 0.69 0.170769
0.0549055 0.69 0.171581
0.0535451 0.69 0.171616
0.0524436 0.69 0.171699
0.0506417 0.69 0.171503
0.049367 0.69 0.170762
0.0481107 0.69 0.171505
0.0470156 0.69 0.170757
0.0459908 0.69 0.171223
0.0440406 0.69 0.169211
0.160628 0.63 0.194819
0.1022 0.66 0.178193
0.0861205 0.68 0.167117
0.0803358 0.68 0.165598
0.0685584 0.74 0.165762
0.0651264 0.74 0.170341
0.0592447 0.74 0.169302
0.0522847 0.74 0.174182
0.047703 0.73 0.173221
0.0418285 0.73 0.174653
0.0390304 0.73 0.174822
0.0365634 0.73 0.175586
0.0346576 0.73 0.176342
0.0329414 0.73 0.176887
0.0313881 0.72 0.178318
0.0301752 0.72 0.178415
0.0286958 0.72 0.178557
0.0274833 0.72 0.179388
0.026434 0.72 0.179175
0.0253617 0.72 0.179732
0.0244829 0.72 0.179413
0.0235887 0.72 0.179903
0.022766 0.72 0.180134
0.0220102 0.72 0.179786
0.0212876 0.72 0.179956
0.0206571 0.72 0.18006
0.16967 0.73 0.172244
0.165179 0.74 0.165586
0.121172 0.69 0.183188
0.147993 0.68 0.176416
0.135752 0.69 0.200961
0.143449 0.67 0.182058
0.125536 0.69 0.193169
0.107482 0.7 0.167018
0.0827291 0.7 0.181945
0.081398 0.72 0.165611
0.0674019 0.7 0.17012
0.0759549 0.7 0.162934
0.0632107 0.7 0.169665
0.0613467 0.7 0.164806
0.0544618 0.7 0.168359
0.0613726 0.7 0.164585
0.0521804 0.7 0.169337
0.0534708 0.7 0.16624
0.0435563 0.7 0.170217
0.0423345 0.7 0.167934
0.0340678 0.73 0.170316
0.03124 0.73 0.170447
0.0296177 0.73 0.171147
0.0284158 0.73 0.17143
0.0273888 0.73 0.171574
0.0987542 0.86 0.0981375
0.0688715 0.86 0.0961393
0.0601378 0.86 0.0981601
0.0561763 0.82 0.0979524
0.0563322 0.82 0.0983402
0.0542069 0.82 0.0982582
0.053073 0.82 0.0984123
0.0513563 0.82 0.0991815
0.0497676 0.82 0.0999236
0.0477778 0.82 0.100771
0.045034 0.82 0.101624
0.0418716 0.82 0.101829
0.0380119 0.82 0.103002
0.0345321 0.82 0.102956
0.0312718 0.82 0.103615
0.0286209 0.82 0.103723
0.0262704 0.82 0.1039
0.0242577 0.82 0.103767
0.0225948 0.82 0.103722
0.0211069 0.82 0.103629
0.0198499 0.82 0.10338
0.0187347 0.82 0.103163
0.0177694 0.82 0.102964
0.0168559 0.82 0.102849
0.0160722 0.82 0.102579
0.0153607 0.82 0.102347
0.124194 0.78 0.151383
0.0922422 0.79 0.147605
0.091753 0.78 0.149351
0.0856414 0.78 0.150381
0.0864229 0.77 0.151026
0.0805686 0.77 0.155105
0.0803488 0.77 0.154419
0.0749439 0.77 0.157362
0.0748503 0.81 0.157428
0.0712608 0.78 0.160897
0.0698355 0.81 0.161526
0.066493 0.8 0.164563
0.0653332 0.81 0.164181
0.0626154 0.81 0.164722
0.0612145 0.81 0.162474
0.0580334 0.78 0.161088
0.0566799 0.81 0.165982
0.0561699 0.81 0.163505
0.0533968 0.81 0.164717
0.051943 0.81 0.164095
0.0498476 0.81 0.164184
0.0480157 0.81 0.164877
0.0462742 0.81 0.164139
0.0440515 0.81 0.164247
0.0419016 0.78 0.164095
0.18527 0.72 0.137015
0.126911 0.79 0.125302
0.0975052 0.77 0.12614
0.0888022 0.75 0.130417
0.078234 0.75 0.13224
0.0723738 0.75 0.133191
0.0675094 0.75 0.133215
0.0629578 0.76 0.132623
0.0589254 0.76 0.132092
0.0555744 0.76 0.131259
0.0527939 0.75 0.130908
0.0502153 0.75 0.130163
0.048102 0.75 0.129944
0.0460502 0.75 0.12956
0.0441237 0.75 0.129094
0.0419898 0.75 0.128845
0.0397858 0.75 0.128585
0.0376445 0.75 0.128299
0.0357061 0.73 0.12825
0.0338979 0.73 0.127972
0.0322856 0.73 0.127897
0.0309103 0.73 0.127682
0.0296615 0.73 0.127582
0.0285352 0.73 0.127385
0.027531 0.73 0.127239
0.0266618 0.73 0.127141
0.200168 0.74 0.156532
0.139658 0.71 0.151574
0.123264 0.71 0.155889
0.115392 0.67 0.156974
0.094137 0.65 0.159304
0.088234 0.65 0.156796
0.0762589 0.65 0.157764
0.0711906 0.65 0.155356
0.064206 0.65 0.155418
0.0613689 0.65 0.153769
0.0563825 0.65 0.153571
0.0539822 0.67 0.152747
0.0510262 0.69 0.15261
0.0489289 0.69 0.152128
0.0467149 0.69 0.152027
0.0448091 0.69 0.151852
0.0430315 0.69 0.15172
0.0414177 0.69 0.151729
0.0399512 0.69 0.151625
0.0386028 0.69 0.151508
0.0373642 0.69 0.151574
0.0362258 0.69 0.151705
0.0351665 0.69 0.151773
0.0342019 0.69 0.151817
0.0332789 0.69 0.151772
0.0324081 0.69 0.151804
0.115119 0.78 0.153532
0.0762513 0.78 0.146655
0.0603643 0.78 0.148663
0.0509991 0.78 0.141811
0.042186 0.8 0.144745
0.0370859 0.8 0.138043
0.0332588 0.8 0.139784
0.0303337 0.8 0.136677
0.0281256 0.8 0.136739
0.0262746 0.8 0.135991
0.02474 0.8 0.1347
0.0234142 0.8 0.134837
0.0222416 0.8 0.134148
0.0212121 0.8 0.134377
0.0202815 0.8 0.133885
0.019441 0.8 0.134148
0.0186907 0.8 0.133809
0.0180499 0.8 0.133959
0.017436 0.8 0.133958
0.0168772 0.8 0.133564
0.0163374 0.8 0.133608
0.0158327 0.8 0.133569
0.0153667 0.8 0.133203
0.0149253 0.8 0.133274
0.0145084 0.8 0.133246
0.0141136 0.8 0.133221
0.134947 0.72 0.141384
0.107807 0.73 0.137466
0.0971905 0.73 0.134816
0.0839084 0.76 0.133747
0.0764837 0.77 0.132606
0.0723491 0.77 0.131593
0.066513 0.79 0.13074
0.0642666 0.8 0.12993
0.0581881 0.79 0.129377
0.0545629 0.8 0.128847
0.0490153 0.79 0.128811
0.0456111 0.79 0.128436
0.0419601 0.79 0.128482
0.0392403 0.79 0.128292
0.0366746 0.79 0.128275
0.03461 0.79 0.128301
0.0329017 0.79 0.128146
0.0314082 0.79 0.128216
0.0300999 0.79 0.128225
0.0288899 0.79 0.128171
0.0277682 0.79 0.128344
0.0268107 0.79 0.128406
0.0258942 0.79 0.128582
0.0250851 0.79 0.128722
0.0996242 0.72 0.132246
0.080645 0.71 0.13404
0.0661605 0.72 0.133864
0.063146 0.7 0.136183
0.055322 0.67 0.138024
0.0525392 0.67 0.139944
0.0465485 0.68 0.140914
0.0422212 0.69 0.141651
0.0381004 0.72 0.142268
0.0347604 0.72 0.142848
0.0317326 0.72 0.143373
0.0288118 0.72 0.143782
0.0260776 0.72 0.14404
0.0237749 0.73 0.144202
0.0218819 0.73 0.144295
0.0202945 0.73 0.144312
0.018968 0.73 0.144321
0.017834 0.73 0.144278
0.0168442 0.73 0.144233
0.0159769 0.73 0.144176
0.0152026 0.73 0.144116
0.0145049 0.73 0.143936
0.0138504 0.73 0.143791
0.0132575 0.73 0.143688
0.0127292 0.73 0.143576
0.0122305 0.73 0.143492
0.122997 0.87 0.128664
0.0673848 0.89 0.129344
0.0606175 0.89 0.136062
0.0549804 0.89 0.145016
0.0461918 0.89 0.147994
0.0400773 0.89 0.150204
0.0383396 0.86 0.153215
0.0364022 0.82 0.155835
0.0353031 0.82 0.159307
0.0341386 0.82 0.162511
0.0330682 0.81 0.16471
0.0317633 0.82 0.16594
0.0298073 0.82 0.166688
0.0280332 0.82 0.167167
0.0262671 0.8 0.16732
0.0245846 0.8 0.167025
0.0230104 0.8 0.166602
0.0215637 0.79 0.16637
0.020282 0.79 0.16614
0.0191809 0.77 0.165931
0.01821 0.77 0.165751
0.0173468 0.77 0.165599
0.0165957 0.76 0.165468
0.0159277 0.76 0.165369
0.0153316 0.76 0.165328
0.0147533 0.78 0.165264
0.117423 0.74 0.154638
0.0718129 0.74 0.143215
0.049339 0.73 0.144116
0.0420658 0.73 0.141827
0.0361583 0.73 0.139996
0.0325782 0.73 0.13812
0.0297443 0.75 0.136745
0.0274272 0.75 0.135501
0.0254749 0.75 0.134429
0.0238355 0.75 0.133497
0.0223956 0.75 0.132595
0.0211004 0.75 0.131853
0.0199431 0.75 0.131096
0.018891 0.75 0.130453
0.0179425 0.75 0.129865
0.0171008 0.75 0.129326
0.0163485 0.75 0.128819
0.0156606 0.75 0.128338
0.0150466 0.75 0.127882
0.0144952 0.75 0.127445
0.0139971 0.75 0.127026
0.0135447 0.75 0.12661
0.0131317 0.75 0.1262
0.0127522 0.75 0.125805
0.0124034 0.75 0.12544
0.161231 0.79 0.140555
0.10619 0.76 0.153964
0.0865336 0.75 0.149972
0.0752432 0.73 0.144241
0.0693686 0.73 0.144322
0.0657179 0.73 0.14346
0.0609545 0.73 0.143908
0.0550498 0.73 0.144029
0.0490062 0.73 0.143712
0.0424164 0.73 0.143864
0.0374995 0.75 0.143859
0.0336203 0.75 0.143954
0.0305155 0.75 0.143966
0.0280024 0.75 0.144021
0.0259204 0.75 0.144032
0.0241646 0.75 0.144139
0.0226744 0.75 0.144206
0.0214007 0.75 0.144326
0.0203064 0.75 0.144406
0.0193642 0.75 0.144368
0.0185105 0.75 0.144356
0.0177533 0.75 0.144367
0.0170724 0.75 0.14438
0.0164504 0.75 0.144428
0.0159016 0.75 0.144502
0.0153712 0.75 0.144561
0.117323 0.71 0.138761
0.0983827 0.71 0.146935
0.0748849 0.77 0.146478
0.0615102 0.77 0.148566
0.054828 0.77 0.150304
0.0500897 0.74 0.154038
0.0463243 0.71 0.15877
0.043044 0.75 0.160348
0.0398829 0.75 0.160368
0.0373227 0.75 0.160316
0.0354971 0.75 0.160684
0.0340776 0.75 0.160423
0.032926 0.75 0.160154
0.0319019 0.75 0.160093
0.0310593 0.76 0.159398
0.0304877 0.76 0.159276
0.029959 0.76 0.158981
0.0291816 0.76 0.158014
0.0282269 0.76 0.157102
0.0270731 0.76 0.155911
0.0258599 0.76 0.154629
0.02466 0.76 0.153373
0.0234781 0.76 0.152194
0.0223019 0.77 0.151268
0.0211803 0.77 0.150254
0.159878 0.79 0.123944
0.126568 0.84 0.112208
0.102225 0.84 0.129078
0.0949635 0.87 0.127781
0.0878972 0.79 0.139032
0.0820919 0.83 0.130011
0.0711344 0.83 0.135047
0.0598345 0.82 0.130376
0.0504309 0.82 0.132576
0.0488567 0.78 0.131357
0.0441995 0.78 0.132273
0.0425025 0.78 0.131853
0.0397377 0.78 0.13224
0.0376019 0.78 0.132172
0.0357106 0.78 0.132327
0.0339999 0.78 0.132576
0.0324031 0.78 0.13269
0.0310395 0.78 0.132936
0.0296618 0.78 0.133132
0.0283894 0.78 0.133319
0.0272176 0.78 0.133491
0.0261007 0.78 0.13376
0.0251134 0.78 0.133739
0.0241116 0.78 0.133831
0.0232158 0.78 0.134014
0.0223725 0.78 0.134147
0.150528 0.84 0.136445
0.116025 0.85 0.134666
0.0995755 0.82 0.132411
0.0917346 0.82 0.130689
0.0858716 0.81 0.126425
0.0798078 0.81 0.120144
0.0723798 0.8 0.114789
0.0646398 0.86 0.111494
0.0579028 0.86 0.110415
0.052766 0.86 0.108605
0.0487887 0.86 0.107137
0.0455948 0.86 0.105732
0.0431193 0.86 0.104691
0.0410011 0.86 0.103622
0.0392185 0.86 0.102765
0.0375992 0.86 0.102084
0.0361 0.86 0.101431
0.0346558 0.87 0.100816
0.0332197 0.87 0.100315
0.0318142 0.87 0.0998249
0.0303286 0.88 0.0995978
0.0288268 0.86 0.0992825
0.0274285 0.86 0.0990074
0.0260902 0.86 0.0988096
0.0248206 0.86 0.0985415
0.0236448 0.86 0.0982983
0.174916 0.84 0.104134
0.133007 0.78 0.104258
0.120329 0.82 0.102878
0.101007 0.8 0.107205
0.0955536 0.82 0.0989232
0.0815497 0.8 0.107445
0.0804884 0.82 0.0965333
0.0724047 0.8 0.10708
0.0698496 0.82 0.0965919
0.0648321 0.82 0.104727
0.0592463 0.84 0.0964249
0.055689 0.82 0.102909
0.0517397 0.82 0.0971638
0.0491271 0.82 0.101692
0.046537 0.82 0.0979973
0.0444185 0.82 0.10072
0.0426305 0.84 0.0988159
0.0408673 0.84 0.0999665
0.039629 0.84 0.0989388
0.0382814 0.84 0.0991691
0.03722 0.84 0.0988535
0.0361609 0.84 0.0989781
0.0352732 0.84 0.0987563
0.0344009 0.84 0.0987749
0.0335651 0.84 0.0986986
0.0327916 0.84 0.0986293
0.0988469 0.85 0.123539
0.0930325 0.85 0.124702
0.0853301 0.82 0.12663
0.0787792 0.81 0.128115
0.0741375 0.82 0.128889
0.0703036 0.82 0.128986
0.0665465 0.82 0.128417
0.0643796 0.82 0.128588
0.0623599 0.82 0.127507
0.0607932 0.82 0.127018
0.0593658 0.82 0.126205
0.0572278 0.82 0.125138
0.0549416 0.85 0.123486
0.051672 0.85 0.121819
0.0490469 0.85 0.120988
0.0467802 0.85 0.119567
0.0448679 0.85 0.118453
0.0430557 0.85 0.118105
0.0415509 0.84 0.115769
0.0398524 0.85 0.118409
0.0387706 0.82 0.114697
0.0365994 0.83 0.118363
0.035888 0.82 0.115041
0.0347883 0.81 0.120319
0.0352669 0.82 0.116218
0.130029 0.88 0.0888416
0.118501 0.92 0.0888797
0.10737 0.9 0.089573
0.104699 0.9 0.0897638
0.0981641 0.87 0.0907796
0.092353 0.87 0.0926285
0.0875233 0.87 0.0936594
0.0844582 0.86 0.0949763
0.0802164 0.87 0.0964463
0.0767655 0.87 0.098042
0.07262 0.84 0.0990313
0.0701561 0.82 0.100073
0.0659447 0.83 0.102315
0.0639684 0.83 0.102928
0.0600286 0.83 0.104112
0.0587168 0.83 0.104273
0.0550127 0.83 0.105137
0.053775 0.83 0.104677
0.0508217 0.83 0.105062
0.0495507 0.83 0.104719
0.0469034 0.83 0.104773
0.0457692 0.83 0.104488
0.0434786 0.83 0.104315
0.0422041 0.83 0.104259
0.0404923 0.83 0.104147
0.155619 0.83 0.119433
0.152403 0.84 0.109583
0.13504 0.8 0.118996
0.122179 0.8 0.125957
0.105755 0.78 0.134572
0.0920131 0.79 0.136215
0.0852783 0.78 0.139226
0.0714656 0.78 0.141945
0.0679977 0.79 0.14347
0.0604925 0.79 0.145805
0.0567859 0.77 0.145859
0.0508509 0.79 0.147742
0.0479645 0.77 0.147427
0.0443349 0.77 0.148596
0.0419944 0.77 0.148403
0.0398633 0.77 0.148947
