RMSE ACC
0.129817 0.885
0.12394 0.919167
0.125076 0.91
0.12543 0.9025
0.125876 0.903333
0.1266 0.891667
0.12442 0.906667
0.130184 0.894167
0.12418 0.91
0.132007 0.8725
0.12232 0.923333
0.124901 0.905833
0.126552 0.8975
0.126027 0.909167
0.12839 0.890833
0.125878 0.894167
0.122829 0.9225
0.122817 0.908333
0.129296 0.8925
0.124513 0.895
0.125301 0.905
0.120302 0.9125
0.121821 0.904167
0.133547 0.8525
0.122177 0.905
0.122563 0.901667
0.126707 0.88
0.127082 0.884167
0.126186 0.885
0.127047 0.891667
0.121346 0.899167
0.126903 0.874167
0.121208 0.900833
0.120025 0.908333
0.124891 0.8825
0.12538 0.880833
0.121482 0.904167
0.119416 0.911667
0.12255 0.895833
0.12191 0.904167
0.11997 0.8975
0.123284 0.883333
0.119611 0.9075
0.123644 0.889167
0.109948 0.9275
0.124025 0.889167
0.120791 0.905
0.11474 0.915833
0.122917 0.890833
0.121646 0.885
0.116656 0.901667
0.115433 0.903333
0.120775 0.895
0.12055 0.8825
0.119025 0.898333
0.120813 0.889167
0.119172 0.900833
0.111954 0.903333
0.114906 0.9075
0.113974 0.906667
0.115102 0.900833
0.118736 0.895
0.110348 0.920833
0.118478 0.903333
0.112156 0.905
0.116977 0.899167
0.123263 0.870833
0.114774 0.8975
0.114682 0.913333
0.11745 0.889167
0.107725 0.9175
0.116477 0.904167
0.118333 0.89
0.115647 0.899167
0.113718 0.910833
0.112773 0.915833
0.113501 0.908333
0.115117 0.889167
0.113131 0.901667
0.114312 0.900833
0.113896 0.895
0.111971 0.908333
0.117202 0.873333
0.115127 0.911667
0.115524 0.890833
0.111122 0.91
0.112963 0.903333
0.111831 0.8925
0.114335 0.898333
0.113086 0.903333
0.108171 0.915833
0.117599 0.890833
0.111651 0.9
0.107256 0.916667
0.110835 0.899167
0.107009 0.913333
0.109121 0.906667
0.103658 0.9225
0.113711 0.903333
0.111589 0.91
0.107649 0.910833
0.110582 0.9
0.1114 0.909167
0.10922 0.903333
0.105193 0.915833
0.108586 0.8975
0.108123 0.9125
